,Date,Mean_temp,Max_temp,Min_temp,Mean_dwp,Max_dwp,Min_dwp,Pressure,Humidity,Wind,Clouds,Description
0,2019-01-21 04:15:00,14.39,16.7,11.7,10.99,13.299999999999999,8.299999999999999,1016,83,3.1,40,Fog
0,2019-01-21 05:16:00,14.14,16.7,11.7,11.34,13.899999999999999,8.899999999999999,1016,86,3.6,75,Fog
0,2019-01-21 06:15:00,13.93,16.1,11,9.93,12.100000000000001,7.0,1017,80,2.6,75,Fog
0,2019-01-21 07:30:00,14.18,16.1,11.1,12.18,14.100000000000001,9.1,1017,90,4.1,75,Mist
0,2019-01-21 08:25:00,13.86,16.1,10.6,9.86,12.100000000000001,6.6,1017,80,3.1,40,Mist
0,2019-01-21 09:25:00,13.91,16.1,10.6,8.91,11.100000000000001,5.6,1017,75,2.6,75,Mist
0,2019-01-21 10:15:00,13.8,15.6,12,8.600000000000001,10.399999999999999,6.8,1017,74,4.6,40,Rain
0,2019-01-21 11:23:00,13.31,15,11.1,6.510000000000001,8.2,4.3,1017,66,3.1,1,Clear
0,2019-01-21 12:15:00,12.31,14.4,9.2,5.510000000000001,7.6000000000000005,2.3999999999999995,1017,66,3.6,75,Clouds
0,2019-01-21 13:15:00,11.66,13.9,8.8,3.460000000000001,5.700000000000001,0.6000000000000014,1018,59,2.1,1,Clear
0,2019-01-21 14:15:00,11.52,13.9,8.9,3.3200000000000003,5.700000000000001,0.7000000000000011,1017,59,2.1,20,Clouds
0,2019-01-21 15:15:00,10.37,13.3,8,3.169999999999999,6.1000000000000005,0.7999999999999998,1018,64,4.37,1,Clear
0,2019-01-21 16:15:00,11.72,13.9,9,2.5200000000000014,4.700000000000001,-0.1999999999999993,1019,54,3.62,20,Clouds
0,2019-01-21 17:15:00,13.03,15,10,0.629999999999999,2.5999999999999996,-2.4000000000000004,1019,38,2.6,20,Clouds
0,2019-01-21 18:15:00,14.44,16.7,12,0.6399999999999988,2.8999999999999986,-1.8000000000000007,1019,31,5.7,20,Clouds
0,2019-01-21 19:15:00,15.49,17.8,12.6,0.6899999999999995,3.0,-2.200000000000001,1020,26,4.1,20,Clouds
0,2019-01-21 20:15:00,16.23,18.3,13.8,1.4299999999999997,3.5,-1.0,1018,26,5.7,20,Clouds
0,2019-01-21 21:15:00,16.52,18.9,14.8,1.92,4.299999999999999,0.20000000000000107,1017,27,4.1,20,Clouds
0,2019-01-21 22:15:00,16.41,17.8,14.5,1.4100000000000001,2.8000000000000007,-0.5,1017,25,5.1,20,Clouds
0,2019-01-21 23:15:00,16.22,18.3,14,1.8199999999999985,3.9000000000000004,-0.40000000000000036,1016,28,4.6,20,Clouds
0,2019-01-22 00:15:00,15.55,17.8,13.4,3.950000000000001,6.200000000000001,1.8000000000000007,1017,42,3.6,1,Clear
0,2019-01-22 01:15:00,14.6,17.2,11.7,4.4,7.0,1.5,1016,49,3.1,1,Clear
0,2019-01-22 02:15:00,13.2,15.6,10,0.0,2.4000000000000004,-3.1999999999999993,1016,34,4.1,1,Clear
0,2019-01-22 03:15:00,12.45,15,9,-0.5500000000000007,2.0,-4.0,1017,35,4.1,1,Clear
0,2019-01-22 04:15:00,11.72,15,8,-0.6799999999999997,2.5999999999999996,-4.4,1018,38,2.1,1,Clear
0,2019-01-22 05:15:00,10.56,14.4,6.1,-1.4399999999999995,2.4000000000000004,-5.9,1019,40,1.5,1,Clear
0,2019-01-22 06:15:00,9.79,13.3,6.1,-1.6100000000000012,1.9000000000000004,-5.300000000000001,1019,43,2.3,1,Clear
0,2019-01-22 07:15:00,9.69,13.9,6,-0.7100000000000009,3.5,-4.4,1020,48,1.5,1,Clear
0,2019-01-22 08:15:00,9.21,14.4,5,1.2100000000000009,6.4,-3.0,1020,60,1.57,1,Clear
0,2019-01-22 09:15:00,8.65,13.9,3.9,0.6500000000000004,5.9,-4.1,1020,60,1.57,1,Clear
0,2019-01-22 10:15:00,8.03,13.9,2.8,0.629999999999999,6.5,-4.6000000000000005,1020,63,4.22,1,Clear
0,2019-01-22 11:15:00,8.04,13.9,2.8,1.0399999999999991,6.9,-4.2,1020,65,2.87,1,Clear
0,2019-01-22 12:15:00,7.67,13.3,1.7,1.2699999999999996,6.9,-4.7,1021,68,2.1,1,Clear
0,2019-01-22 13:15:00,7.78,13.9,2,1.7800000000000002,7.9,-4.0,1021,70,2.1,1,Clear
0,2019-01-22 14:15:00,7.72,14.4,2,1.12,7.800000000000001,-4.6,1021,67,4.36,1,Clear
0,2019-01-22 15:15:00,8.37,13.9,3,-5.4300000000000015,0.09999999999999964,-10.8,1023,31,3.6,1,Clear
0,2019-01-22 16:15:00,9.49,15,4,-6.109999999999999,-0.5999999999999996,-11.6,1023,22,6.7,1,Dust
0,2019-01-22 17:15:00,12.93,16.7,9,-3.6700000000000017,0.09999999999999787,-7.600000000000001,1024,17,6.7,20,Clouds
0,2019-01-22 18:15:00,14.4,17.8,11,-2.4000000000000004,1.0,-5.800000000000001,1024,16,7.2,20,Clouds
0,2019-01-22 19:15:00,16.17,18.9,12.2,-1.0299999999999976,1.6999999999999993,-5.0,1024,14,7.2,20,Rain
